,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,A,L,GSM26878.CEL,GSM26883.CEL,GSM26887.CEL,GSM26903.CEL,GSM26910.CEL,GSM26879.CEL,GSM26896.CEL,GSM26897.CEL,GSM26907.CEL,GSM26911.CEL
211110_s_at,NA,NA,1.61994097143849,7.70802817236694,5.63082459054562,2.77081498343427e-05,0.00858909836019115,2.69550720599774,1.61994097143849,9.11593156325099,7.4959905918125,9.07062469866796,8.71437648439849,8.73313074486531,8.97146895604864,10.0900569322745,6.94597556908515,7.1721107446402,8.42945157553033,7.33073834859957,7.60167672120723
205961_s_at,NA,NA,-1.19049750760085,7.91375344687102,-5.61738630523098,2.84808560899338e-05,0.00858909836019115,2.66990033436355,-1.19049750760085,6.95038681049793,8.14088431809878,6.96127930431856,7.0272905751872,6.78115037445345,6.97129162075346,7.01092217777697,7.95499606899631,8.07762533717752,8.48496529512657,8.30730266928341,7.87953221991006
202786_at,NA,NA,-1.90959870724471,7.79571342969182,-5.61210045306122,2.87908437249484e-05,0.00858909836019115,2.65982110287629,-1.90959870724471,6.89271965292095,8.80231836016565,6.72557052826908,8.1699411830061,6.82574381175598,6.44655761069153,6.29578513088206,8.03786526806413,9.16834886472659,8.67962334241197,9.11012944569041,9.01562487993515
204041_at,NA,NA,-2.206401970265,9.42094693186617,-5.6013426486868,2.94325079869481e-05,0.00858909836019115,2.63929568046365,-2.20640197026499,8.53387230687069,10.7402742771357,8.45993095699977,8.58969693355747,8.23212222397859,8.21711702456329,9.17049439525434,11.5186117041462,11.911549755083,10.9459063934604,10.0002245554321,9.32507897755674
219736_at,NA,NA,1.61613550061893,7.04315333910413,5.58087653977609,3.0694199067748e-05,0.00867054795852268,2.60020257724369,1.61613550061893,8.38693327229201,6.77079777167308,7.82776554795315,7.55344498955635,8.85205180578773,9.24121639539847,8.46018762276435,7.22409501329637,6.91924512823438,6.91924512823438,6.6885579049893,6.10284568361096
209604_s_at,NA,NA,-1.92788601834367,10.7464043783828,-5.56888242767335,3.14593556245531e-05,0.00867054795852268,2.57726505156528,-1.92788601834367,10.6870124556941,12.6148984740377,10.6161114144471,11.0920978660084,11.2612817330424,10.0228381591414,10.442733105831,12.952051975673,12.4832215883437,12.4589644399001,12.6194588141729,12.560795552099
202579_x_at,NA,NA,-0.904498482322957,10.2261640427615,-5.4056047575563,4.40634803941379e-05,0.0118161581748821,2.26305493507351,-0.90449848232296,9.49333958511601,10.397838067439,9.37505003967609,9.5047801580699,9.473809461046,9.53620673852896,9.57685152825908,10.1131410966233,10.336238461818,10.4326365913782,10.5217751617681,10.5853990256073
211621_at,NA,NA,1.24825392397083,7.27166495351072,5.2954494369414,5.54086941332127e-05,0.0144675016628878,2.04906988818723,1.24825392397083,8.45733147776571,7.20907755379488,8.5820323857864,8.00683879459617,8.46107199942806,8.22010819988834,9.01660600912959,6.64135586960476,7.35056547088192,7.76117138541944,6.90189664426651,7.39039839880179
202357_s_at,NA,NA,-2.56811619637023,9.26622860758012,-5.25977566562793,5.96940997364535e-05,0.0151867912201306,1.97943666399227,-2.56811619637023,8.34400422955103,10.9121204259213,8.89683664311601,8.53558829084772,10.1008929919387,7.27974611969168,6.90695710216108,11.1533100682535,10.6131097465349,10.9336823761019,10.8249619030709,11.0355380356452
219529_at,NA,NA,1.99935016661019,6.10568826109569,5.19840472055595,6.78792256737273e-05,0.0166181248304884,1.85927124894688,1.99935016661019,7.43116717210744,5.43181700549724,8.20556604810006,6.10381343573198,7.54215918065716,8.82616564916687,6.47813154688109,5.39190230398048,5.33329552792998,5.28846189566835,5.76196917242903,5.38345612747837
200972_at,NA,NA,-1.09747360981453,10.5507979606466,-5.18914491101941,6.92106391849663e-05,0.0166181248304884,1.84110003178855,-1.09747360981453,9.84181549987559,10.9392891096901,9.83738111373343,9.97356769173165,9.78699788428763,9.83944265390859,9.77168815571665,10.2700117085814,10.7220772700821,11.2782845921985,11.2766694589265,11.1494025186621
201093_x_at,NA,NA,0.880829631891118,10.2756225918625,5.18139979095442,7.0344813835972e-05,0.0166181248304884,1.82589316870751,0.880829631891118,10.8080040586343,9.92717442674316,10.5851781905985,10.8267613422385,10.6498764402112,10.9887487839772,10.989455536146,10.1342864537764,9.66441363407146,10.1647727303236,9.78429443147619,9.8881048840681
201095_at,NA,NA,1.52912272422449,9.85216565124681,5.15919809126243,7.37027319595539e-05,0.0170064768954115,1.78226175424756,1.52912272422449,10.8106279729646,9.28150524874014,10.3125603772521,11.3874826478453,9.93587327033721,10.8179359406276,11.599287628761,9.34764534818887,8.64214164573708,9.97211438261954,9.17823522997448,9.26738963718075
201291_s_at,NA,NA,-2.09350349868616,9.49850092558224,-5.10326709419555,8.29096991003114e-05,0.018386533606972,1.67208292302156,-2.09350349868616,8.11527232568544,10.2087758243716,7.93780635623209,8.29544442369486,9.2047113546358,7.92110185379331,7.21729764007116,9.26995581014046,9.33212950627235,10.9125221951029,10.4000654252271,11.1292061851153
201976_s_at,NA,NA,1.55083368404463,9.83433976605975,5.09988973238163,8.35020241905631e-05,0.018386533606972,1.66541799578373,1.55083368404463,10.460817532962,8.90998384891741,10.1266438774036,10.9970917538954,10.4171836880818,9.82043159881573,10.9427367466137,9.01646708853892,8.7951767760493,9.33847056856496,7.83641486010213,9.56338995133174
201701_s_at,NA,NA,1.0519666672828,9.41473247272547,5.08402260713483,8.63433715157929e-05,0.018386533606972,1.63408778476949,1.0519666672828,10.1166738233809,9.06470715609805,10.2086579301098,10.2696584101258,10.3097840848881,9.37683785975932,10.4184308320212,9.01740430283883,9.07432026108686,9.15538365326616,9.24277722296942,8.83365034032898
210976_s_at,NA,NA,-1.10948911450699,9.77036822555116,-5.07624815082699,8.77715049116321e-05,0.018386533606972,1.61872615551225,-1.10948911450698,9.09931548589083,10.2088046003978,9.10743190630295,9.73623622181992,8.84409341917076,8.7426015259739,9.06621435618659,10.2850440027344,10.1456741145364,10.208917995082,9.83921540667023,10.5651714829661
203627_at,NA,NA,-1.03938289210008,7.17722038491357,-5.06993403940329,8.89491647988971e-05,0.018386533606972,1.60624489167917,-1.03938289210008,6.64419474616021,7.68357763826029,6.66397693801218,6.68198715603669,6.73491394252684,6.28007956187674,6.86001613234857,7.80124504060553,7.95641283242699,7.7976845431974,7.10085359607462,7.7616921789969
212554_at,NA,NA,-1.19125567070501,7.86548530492213,-5.03968433155569,9.48195828287191e-05,0.0191999979760521,1.54638604201082,-1.19125567070501,7.52398407375507,8.71523974446009,7.26662642031396,7.49343147738589,7.60193456319408,7.90156185145113,7.3563660564303,8.73832347710677,9.47392361243748,8.08005248991824,8.30044511574853,8.98345402708941
203059_s_at,NA,NA,1.70450592589991,8.08031971861526,5.00118521843898,0.000102868800747665,0.0204132848203667,1.47005315760605,1.70450592589991,9.15536831256673,7.45086238666681,9.7287805030005,8.64982569255909,7.90760560205185,9.18977788508511,10.3008518801371,7.44422768130395,7.10390589562399,7.23236825345063,7.48918592146095,7.98462418149455
210513_s_at,NA,NA,1.21004186834373,7.78073167937902,4.9676924911833,0.000110438807208893,0.0214857616691497,1.40351251193099,1.21004186834373,8.41544456981017,7.20540270146644,8.46745297847146,7.87185037901973,8.51913782243908,9.16182360527407,8.05695806384652,7.4767382851411,6.83475069912033,7.18743577876423,7.12778619385729,7.40030255044925
212195_at,NA,NA,-1.70732719162176,10.6393709799271,-4.92237048196453,0.000121598946321186,0.0232020143345924,1.31327636993566,-1.70732719162176,9.85742018540129,11.564747377023,10.3333052945506,9.17149005734935,10.0681682656374,10.104511126574,9.60962618289514,10.6455698110066,11.5671590197363,11.7659076010603,11.5839201668133,12.2611802864988
204624_at,NA,NA,-1.53710619958204,8.40189574313817,-4.87432707789692,0.000134692902880832,0.0252155279695023,1.21738460889135,-1.53710619958204,7.96393570370058,9.50104190328262,7.75944332714836,8.82454417279401,8.12667367881559,7.41545698447738,7.69356035526754,8.54239905996473,9.8261226293427,9.60964440117862,10.3761373813621,9.15090604456494
